T,MU_PARAM_C1,MU_PARAM_C2,MU_PARAM_C3,MU_PARAM_OBJ,MU_PARAM_I1,MU_PARAM_I2,MU_PARAM_I3,MU_PARAM_P1,MU_PARAM_P2
544.625,2.00467,4.00666,0.859504,12.2539,3.09818,4.57953,1.42009,2.65007,5.58541
547.652,2.00695,4.00449,0.85648,12.1996,3.09358,4.61578,1.57072,2.68645,4.84625
550.678,2.00595,3.99211,0.851852,12.3127,3.17685,5.20596,1.52,3.30072,5.28831
553.704,2.00338,4.00399,0.860087,12.1933,3.15762,4.50106,1.65992,2.76255,4.98138
556.731,2.00515,3.98636,0.854271,12.2065,3.22056,4.67895,1.6629,3.09352,5.00524
559.757,2.00711,4.0003,0.8578,12.1768,3.12921,5.00228,1.66193,2.91265,5.63145
562.783,2.00567,3.99181,0.858255,12.2082,3.17687,5.1871,1.36244,2.93245,4.69574
565.81,2.00418,4.01029,0.857417,12.2385,3.15437,4.55615,1.72916,2.87597,5.80206
568.836,2.00489,4.00341,0.85765,12.2081,3.22152,4.64545,1.59812,2.56815,5.38419
571.878,2.00455,4.01234,0.849115,12.2651,3.15006,4.84114,1.71395,3.12359,5.72527
574.905,2.00379,3.99496,0.860786,12.2537,3.07734,4.54926,1.50117,2.93218,4.7454
577.931,2.00598,3.98662,0.859107,12.3238,3.12987,5.45139,1.73289,2.73626,4.98438
580.957,2.00536,3.99805,0.847812,12.2642,3.09179,5.32072,1.32551,3.22928,4.89969
583.984,2.00409,3.99359,0.855364,12.2117,3.14994,5.15547,1.26949,3.02109,4.65467
587.01,2.00488,3.99014,0.853113,12.2441,3.13119,4.70562,1.59963,3.35616,4.84148
590.036,2.00595,4.00674,0.850998,12.2451,3.20143,4.89104,1.59888,2.99073,4.95343
593.063,2.00588,3.98961,0.850005,12.2104,3.07998,5.40898,1.26881,2.66607,5.61213
596.089,2.00697,3.99827,0.854865,12.1903,3.10975,5.45919,1.65645,3.48407,4.86655
599.115,2.00341,3.98577,0.853693,12.2069,3.12484,4.91362,1.68639,3.12576,5.23228
602.142,2.00391,4.01307,0.848522,12.1868,3.08682,5.06417,1.53801,3.0599,4.72073
605.168,2.00739,3.99508,0.847664,12.274,3.13538,4.74107,1.38228,2.74973,5.01301
608.195,2.00696,3.99175,0.847671,12.2586,3.22458,5.28294,1.26648,3.2798,5.72405
611.221,2.00319,4.00271,0.852148,12.2806,3.16681,5.39387,1.71124,3.23939,5.49379
614.247,2.00682,4.00037,0.858584,12.285,3.21288,4.56871,1.34983,3.39695,5.07118
617.274,2.00723,3.99504,0.850262,12.1905,3.19249,4.98199,1.34739,3.17235,4.71564
635.308,2.0046,3.9906,0.86179,12.198,3.2225,5.1713,1.56784,2.75791,5.13812
638.333,2.00579,4.00579,0.85603,12.1897,3.10528,4.93736,1.53829,3.20095,4.87127
641.359,2.00649,3.99309,0.857308,12.1782,3.22309,5.3319,1.25072,3.48541,5.51687
644.386,2.00541,3.99616,0.857997,12.2314,3.19658,5.35922,1.65696,2.78882,5.81249
647.413,2.00456,3.98538,0.850432,12.2057,3.12883,4.73201,1.72703,3.07757,5.56415
650.439,2.00471,3.98511,0.853525,12.2748,3.18709,5.26943,1.33912,2.92545,5.69067
653.465,2.00306,4.01036,0.854311,12.2416,3.18093,4.81592,1.69199,2.56213,5.56985
656.491,2.00735,4.00726,0.85688,12.3085,3.16031,5.38534,1.51525,3.05119,5.53093
659.518,2.00391,4.00771,0.858709,12.3149,3.15034,5.29002,1.45489,2.80387,4.65359
662.544,2.00384,4.01145,0.85255,12.1941,3.11901,5.13345,1.45109,2.55694,5.10066
665.57,2.00507,4.01216,0.858904,12.2557,3.20324,4.58608,1.74731,2.62518,4.95955
668.597,2.00682,4.00302,0.858406,12.2542,3.08714,5.00356,1.60341,2.63061,4.95809
671.623,2.00566,3.99555,0.859069,12.2615,3.21885,5.28984,1.7291,2.56791,5.22477
674.649,2.00608,3.99483,0.855087,12.2675,3.12024,5.00581,1.4828,2.68118,5.77076
677.676,2.00331,3.99332,0.86088,12.1995,3.17084,4.6803,1.65566,2.91626,5.13065
680.702,2.00355,3.99316,0.85829,12.2675,3.11311,4.81691,1.41212,2.71136,4.89401
683.728,2.00623,3.99297,0.861012,12.2012,3.12771,4.8081,1.64879,3.03634,5.62931
686.755,2.00278,4.00953,0.857809,12.1809,3.11989,5.49204,1.40221,3.49564,5.40069
689.781,2.00622,4.00911,0.850999,12.1915,3.10195,5.27024,1.35565,2.71908,4.9304
692.808,2.00448,4.00181,0.84807,12.2781,3.18334,4.50442,1.5212,2.74869,5.39027
695.834,2.00597,3.98983,0.861657,12.3187,3.09533,5.08318,1.39625,2.65708,4.92183
698.86,2.00735,3.98624,0.858422,12.1958,3.14052,4.5823,1.37018,3.44458,5.67939
701.887,2.00406,3.99182,0.850616,12.2095,3.10915,5.2857,1.39879,3.47193,5.10769
704.913,2.0049,4.00971,0.852499,12.2304,3.14079,4.53155,1.26699,2.96694,4.69746
707.939,2.00685,4.01166,0.848185,12.2979,3.1111,4.72112,1.73757,3.23242,4.69308
710.966,2.00657,3.99505,0.854171,12.2335,3.08918,5.14645,1.49715,3.08852,4.93449
713.992,2.0037,3.98746,0.861108,12.232,3.11236,4.56872,1.71072,3.13765,5.56013
717.018,2.00471,3.99751,0.858502,12.2206,3.18733,5.33297,1.47788,3.4962,5.15983
720.045,2.00282,4.00819,0.849267,12.2676,3.12377,4.50223,1.35213,2.75601,5.35803
723.071,2.00545,3.99627,0.847931,12.2863,3.21421,4.57721,1.61363,2.50766,5.14672
726.098,2.00509,4.01411,0.851977,12.2724,3.16624,4.59683,1.46728,2.59679,5.03663
729.124,2.00531,4.01255,0.859871,12.2107,3.19882,4.895,1.30939,3.28716,5.25219
732.15,2.00296,4.01436,0.854582,12.2796,3.17977,5.05386,1.64836,3.22172,4.63223
735.177,2.00265,3.99715,0.848844,12.3119,3.12596,4.88798,1.31425,3.29404,5.81247
738.203,2.00453,3.98874,0.861297,12.2677,3.18482,4.69958,1.55089,3.0598,5.44044
741.229,2.00351,3.99937,0.860831,12.2103,3.19167,4.51496,1.26732,2.64924,4.97282
744.256,2.00456,4.0073,0.854879,12.2104,3.16643,5.40619,1.49861,2.89432,4.96124
747.282,2.00401,3.99941,0.850123,12.323,3.15664,4.81975,1.34491,2.68506,4.63433
750.308,2.00482,4.01303,0.857873,12.289,3.1392,5.04443,1.34736,2.77382,4.61466
753.335,2.00678,4.00039,0.862072,12.195,3.14627,4.50018,1.73118,3.33025,5.50609
756.361,2.00396,4.00569,0.851243,12.219,3.19577,4.96597,1.50032,3.08532,5.12302
759.388,2.00729,3.9859,0.849029,12.227,3.18944,5.3757,1.54771,2.82079,5.36152
762.414,2.00671,4.00536,0.862346,12.2504,3.21199,4.69345,1.60467,2.91488,5.81617
765.44,2.0075,4.00964,0.856132,12.3042,3.11915,4.90765,1.28001,3.01333,4.68244
768.467,2.00513,3.9961,0.849022,12.2784,3.12549,5.45007,1.4475,3.11031,5.59143
771.493,2.00469,4.01188,0.851095,12.3133,3.1793,5.47178,1.4788,2.69581,5.21412
774.519,2.00476,4.01321,0.852092,12.2213,3.18172,4.68835,1.48978,3.37871,4.64781
777.546,2.00575,3.98978,0.849288,12.2798,3.19777,5.30222,1.52083,3.28971,4.6326
780.572,2.00596,3.99755,0.855574,12.2035,3.19736,4.87889,1.59538,3.25983,4.81051
783.599,2.00332,3.99581,0.854927,12.2537,3.22126,5.07529,1.71919,2.70014,4.72223
786.625,2.00302,4.01291,0.853213,12.2459,3.22442,5.45921,1.53087,3.39225,5.17877
789.651,2.00661,3.98742,0.855904,12.2863,3.18439,4.89807,1.29135,2.94741,5.28047
792.677,2.00551,4.00406,0.857473,12.1801,3.12217,5.15112,1.68775,2.76891,5.4935
795.704,2.00414,4.00124,0.855454,12.2667,3.18125,5.13792,1.66493,2.53781,5.21746
798.73,2.00457,3.99822,0.856396,12.2459,3.16725,5.07984,1.47236,3.16148,5.39652
801.757,2.00521,3.99677,0.848013,12.2495,3.13325,5.35287,1.37844,2.62879,5.24955
804.783,2.00356,3.99285,0.849564,12.1965,3.09715,4.51764,1.39041,2.77073,5.06668
807.809,2.0066,3.99528,0.859892,12.2572,3.20466,4.60657,1.25901,3.0561,5.38468
810.836,2.00455,3.99216,0.857152,12.2465,3.11812,4.67004,1.62492,3.01965,5.20619
813.862,2.00603,3.99785,0.847585,12.2139,3.19851,5.10276,1.56067,3.27755,5.31909
816.888,2.0063,4.00675,0.847629,12.2424,3.19065,5.34799,1.58589,2.88439,4.9314
819.915,2.00487,4.00716,0.849198,12.2777,3.21949,4.59959,1.72389,3.41845,5.56847
822.941,2.00333,4.00416,0.851669,12.2499,3.13035,4.90977,1.42717,2.62913,5.22845
825.967,2.00339,3.98582,0.852246,12.2965,3.21059,4.93072,1.38479,2.50049,5.69625
828.994,2.00618,4.0104,0.8616,12.3162,3.16585,4.85043,1.71453,2.66171,5.51048
832.02,2.00284,3.99884,0.848706,12.2905,3.13088,5.40391,1.69098,2.75341,4.88641
835.046,2.00624,3.9894,0.859496,12.2387,3.2148,5.48735,1.40666,3.10941,4.77969
838.073,2.00407,3.99995,0.851429,12.3077,3.0758,4.61762,1.42995,3.05306,4.88246
841.099,2.00264,3.9986,0.853769,12.2004,3.13065,5.32183,1.63938,3.36039,4.83786
844.126,2.00593,3.99444,0.860961,12.3247,3.16472,4.59366,1.71043,2.74232,5.51298
847.152,2.00254,3.9998,0.856409,12.2828,3.1089,4.86195,1.57957,3.34623,5.03386
850.179,2.00698,4.00432,0.856625,12.239,3.21837,4.99855,1.47302,2.55646,4.80531
853.204,2.00647,3.98852,0.860245,12.2305,3.11364,5.38648,1.27695,3.26818,5.40237
856.231,2.00735,4.00787,0.851034,12.2065,3.20303,4.53449,1.45516,2.70948,4.79792
859.258,2.0069,4.01346,0.859059,12.2334,3.22019,4.71052,1.74866,3.38959,5.26891
862.284,2.00537,3.98863,0.858133,12.3218,3.17003,4.62589,1.33737,3.30125,5.36928
865.31,2.00253,3.99576,0.857097,12.2552,3.19555,5.02737,1.60148,3.40472,5.27401
868.337,2.0033,3.98893,0.859498,12.2231,3.16543,5.48865,1.53107,2.55596,5.70816
871.363,2.00483,4.00963,0.848226,12.2704,3.14593,4.71561,1.49849,2.87766,4.6606
